metric,mean,std,var,min,max,median
overall_score_100,48.916666666666664,53.58717819279783,2871.585666666667,0.0,98.4,48.55
avg_signal_score_0to5,2.4464166666666665,2.6799925659722765,7.182360153666667,0.0,4.9196,2.42855
general_score_100,48.46666666666667,53.09620199851085,2819.2066666666674,0.0,97.5,47.9
proposed_research_score_100,50.0,54.772255750516614,3000.0,0.0,100.0,50.0
training_development_score_100,50.0,54.772255750516614,3000.0,0.0,100.0,50.0
sites_support_score_100,49.166666666666664,53.89032071408248,2904.166666666667,0.0,100.0,47.5
wpcc_score_100,46.666666666666664,51.12594905394585,2613.862666666667,0.0,94.5,46.1
application_form_score_100,49.15,53.84112740275783,2898.8669999999997,0.0,98.3,49.15
