metric,mean,std,var,min,max,median
overall_score_100,45.666666666666664,50.03901144773613,2503.9026666666673,0.0,93.2,44.75
avg_signal_score_0to5,2.26345,2.4801215508518935,6.1510029070000005,0.0,4.6129,2.21775
general_score_100,46.1,50.54803655929673,2555.1039999999994,0.0,95.0,44.15
proposed_research_score_100,44.449999999999996,48.69750506956183,2371.447,0.0,90.0,43.9
training_development_score_100,48.9,53.580817462968966,2870.904,0.0,100.0,48.35
sites_support_score_100,48.75,53.402949356753695,2851.875,0.0,97.5,48.75
wpcc_score_100,42.5,46.568830777677896,2168.656,0.0,86.7,41.65
application_form_score_100,43.333333333333336,47.51655150225726,2257.8226666666665,0.0,90.0,41.65
