metric,mean,std,var,min,max,median
overall_score_100,89.8,1.056409011699542,1.1160000000000028,88.5,91.2,89.5
avg_signal_score_0to5,4.465050000000001,0.048312886479696095,0.002334135000000002,4.4032,4.5484,4.4516
general_score_100,89.14999999999999,0.931128347758784,0.8670000000000029,88.3,90.0,89.15
proposed_research_score_100,87.98333333333335,1.0815112882751923,1.169666666666666,86.7,90.0,87.8
training_development_score_100,92.23333333333333,3.4598651226119608,11.970666666666677,90.0,96.7,90.0
sites_support_score_100,97.5,0.0,0.0,97.5,97.5,97.5
wpcc_score_100,86.39999999999999,1.9503845774615838,3.8040000000000007,85.0,90.0,85.85
application_form_score_100,85.53333333333335,3.4598651226119603,11.970666666666675,83.3,90.0,83.3
