metric,mean,std,var,min,max,median
overall_score_100,49.29999999999999,54.00544417000937,2916.587999999999,0.0,98.6,49.3
avg_signal_score_0to5,2.4643,2.699505396919962,7.287329388000001,0.0,4.9286,2.4643
general_score_100,48.75,53.402949356753695,2851.875,0.0,97.5,48.75
proposed_research_score_100,50.0,54.772255750516614,3000.0,0.0,100.0,50.0
training_development_score_100,50.0,54.772255750516614,3000.0,0.0,100.0,50.0
sites_support_score_100,50.0,54.772255750516614,3000.0,0.0,100.0,50.0
wpcc_score_100,47.75,52.30750424174336,2736.075,0.0,95.5,47.75
application_form_score_100,49.15,53.84112740275783,2898.8669999999997,0.0,98.3,49.15
