,group,overall_score_100_count,overall_score_100_mean,overall_score_100_std,overall_score_100_var,overall_score_100_min,overall_score_100_max,overall_score_100_median,general_score_100_count,general_score_100_mean,general_score_100_std,general_score_100_var,general_score_100_min,general_score_100_max,general_score_100_median,proposed_research_score_100_count,proposed_research_score_100_mean,proposed_research_score_100_std,proposed_research_score_100_var,proposed_research_score_100_min,proposed_research_score_100_max,proposed_research_score_100_median,training_development_score_100_count,training_development_score_100_mean,training_development_score_100_std,training_development_score_100_var,training_development_score_100_min,training_development_score_100_max,training_development_score_100_median,sites_support_score_100_count,sites_support_score_100_mean,sites_support_score_100_std,sites_support_score_100_var,sites_support_score_100_min,sites_support_score_100_max,sites_support_score_100_median,wpcc_score_100_count,wpcc_score_100_mean,wpcc_score_100_std,wpcc_score_100_var,wpcc_score_100_min,wpcc_score_100_max,wpcc_score_100_median,application_form_score_100_count,application_form_score_100_mean,application_form_score_100_std,application_form_score_100_var,application_form_score_100_min,application_form_score_100_max,application_form_score_100_median
0,group_a,5,7.640000000000001,11.665676148427917,136.088,0.0,26.4,0.0,5,1.34,2.9963310898497184,8.978000000000002,0.0,6.7,0.0,5,11.14,22.6351054779959,512.348,0.0,51.5,0.0,5,7.0,15.652475842498529,245.0,0.0,35.0,0.0,5,2.48,3.39587985653203,11.532,0.0,6.2,0.0,5,4.88,9.728925942774978,94.652,0.0,22.2,0.0,5,19.0,26.185778583040072,685.695,0.0,51.7,0.0
1,group_b,5,61.1,33.36375278651968,1113.1399999999999,8.6,85.6,79.8,5,54.86,44.10893333555007,1945.5980000000004,0.0,92.0,79.0,5,71.17999999999999,39.84585298371714,1587.692,0.0,92.1,88.8,5,48.68,45.00296656888298,2025.2669999999994,0.0,91.7,71.7,5,58.239999999999995,35.82887103998673,1283.7079999999999,0.0,90.0,76.2,5,58.220000000000006,35.79981843529378,1281.6270000000002,0.0,86.7,68.9,5,75.34,13.391340485552595,179.32800000000003,51.7,85.0,80.0
